ID,Titre,Prix,Date de publication,Année,Type de carburant,Transmission,Créateur,URL de l'annonce,Dossier d'images
1,Mini-pelle P14 – 1450 kg NEUVE AVEC GARANTIE 1 AN,96 147 DH,2025-02-28 00:02:32,N/A,N/A,N/A,EUROPELLES,https://www.avito.ma/fr/sidi_moumen/engins_btp/Mini_pelle_P14___1450_kg_NEUVE_AVEC_GARANTIE_1_AN_56122268.htm,1_Mini-pelle_P14_1450_kg_NEUVE_AVEC_GARANTIE_1_AN
2,Hyuandai santafee a louer,Prix non spécifié,2025-02-27 23:57:32,N/A,N/A,N/A,vog car,https://www.avito.ma/fr/anfa/voitures_de_location/Hyuandai_santafee_a_louer__55836487.htm,2_Hyuandai_santafee_a_louer
3,Ford Fiesta diwana,72 000 DH,2025-02-27 23:58:32,2008,Diesel,Manuelle,AUTO DOUBLE VOIE ShopBadge Icon,https://www.avito.ma/fr/ain_harrouda/voitures_d'occasion/Ford_Fiesta_diwana_56110130.htm,3_Ford_Fiesta_diwana
4,Hyundai i10,150 DH,2025-02-27 23:55:33,N/A,N/A,N/A,Eksen Cars OfficeShopBadge Icon,https://www.avito.ma/fr/ain_mezouar/voitures_de_location/Hyundai_i10_56126115.htm,4_Hyundai_i10
5,Hyundai Tucson modèle 2022,258 000 DH,2025-02-27 23:59:33,2022,Diesel,Automatique,salek automotiveShopBadge Icon,https://www.avito.ma/fr/ain_sebaa/voitures_d'occasion/Hyundai_Tucson_mod%C3%A8le_2022_55981719.htm,5_Hyundai_Tucson_modèle_2022
6,Jeep Cherokee Diesel Night Eagle 2021 1er Main,269 000 DH,2025-02-27 23:58:33,2021,Diesel,Automatique,MehdiShopBadge Icon,https://www.avito.ma/fr/bourgogne/voitures_d'occasion/Jeep_Cherokee_Diesel_Night_Eagle_2021_1er_Main_55799334.htm,6_Jeep_Cherokee_Diesel_Night_Eagle_2021_1er_Main
7,Clio 4 Essence,83 000 DH,2025-02-27 23:58:33,2012,Diesel,Manuelle,Marrakech ShopBadge Icon,https://www.avito.ma/fr/hay_targa/voitures_d'occasion/Clio_4_Essence__55333596.htm,7_Clio_4_Essence
8,Hyundai Tucson modèle 2022 toutes options,285 000 DH,2025-02-27 23:57:33,2022,Diesel,Automatique,salek automotiveShopBadge Icon,https://www.avito.ma/fr/ain_sebaa/voitures_d'occasion/Hyundai_Tucson_mod%C3%A8le_2022_toutes_options__56094526.htm,8_Hyundai_Tucson_modèle_2022_toutes_options
9,Trottinette électrique,6 200 DH,2025-02-27 23:57:33,6 200,N/A,N/A,highperShopBadge Icon,https://www.avito.ma/fr/hay_al_farah/v%C3%A9los/Trottinette_%C3%A9lectrique_55571619.htm,9_Trottinette_électrique
10,Hyundai Tucson Diesel Automatique 2022,258 000 DH,2025-02-27 23:56:33,2022,Diesel,Automatique,salek automotiveShopBadge Icon,https://www.avito.ma/fr/ain_sebaa/voitures_d'occasion/Hyundai_Tucson_Diesel_Automatique_2022_56091135.htm,10_Hyundai_Tucson_Diesel_Automatique_2022
11,Hyundai Atos,50 000 DH,2025-02-27 23:57:33,2009,Essence,Manuelle,Sara Rachik,https://www.avito.ma/fr/kasbat_al_mahdia/voitures_d'occasion/Hyundai_Atos_56162512.htm,11_Hyundai_Atos
12,Citroën ami pour location,Prix non spécifié,2025-02-27 23:52:34,N/A,N/A,N/A,vog car,https://www.avito.ma/fr/oulfa/voitures_de_location/Citro%C3%ABn_ami_pour_location_55830130.htm,12_Citroën_ami_pour_location
13,Mercedes-Benz Classe C Cabriolet Diesel 2016,Prix non spécifié,2025-02-27 23:56:34,2016,Diesel,Automatique,Corniche autoShopBadge Icon,https://www.avito.ma/fr/anfa/voitures_d'occasion/Mercedes_Benz_Classe_C_Cabriolet_Diesel_2016_56072560.htm,13_Mercedes-Benz_Classe_C_Cabriolet_Diesel_2016
14,renault clio 4,98 000 DH,2025-02-27 23:57:34,2015,Diesel,Manuelle,Simohammed,https://www.avito.ma/fr/agdal/voitures_d'occasion/renault_clio_4__56162508.htm,14_renault_clio_4
15,compas jeep 2008 dewana2016 moteurpassat,Prix non spécifié,2025-02-27 23:56:34,2008,Diesel,Manuelle,Mouhcine Mekano,https://www.avito.ma/fr/sidi_kacem/voitures_d'occasion/compas_jeep_2008_dewana2016_moteurpassat_56162507.htm,15_compas_jeep_2008_dewana2016_moteurpassat
16,clio 4 très bon état 3choure 2017,110 000 DH,2025-02-27 23:56:34,2014,Diesel,Manuelle,توفيق,https://www.avito.ma/fr/centre_ville/voitures_d'occasion/clio_4_tr%C3%A8s_bon_%C3%A9tat_3choure_2017_56162506.htm,16_clio_4_très_bon_état_3choure_2017
17,Jeep Renegade Diesel Automatique 2018 à Rabat,169 000 DH,2025-02-27 23:55:34,2018,Diesel,Automatique,NabilShopBadge Icon,https://www.avito.ma/fr/autre_secteur/voitures_d'occasion/Jeep_Renegade_Diesel_Automatique_2018_%C3%A0_Rabat_56117016.htm,17_Jeep_Renegade_Diesel_Automatique_2018_à_Rabat
18,Clio 4 modèle 2021,Prix non spécifié,2025-02-27 23:53:34,2021,Diesel,Manuelle,siara occazShopBadge Icon,https://www.avito.ma/fr/hay_al_falah/voitures_d'occasion/Clio_4_mod%C3%A8le_2021_56158979.htm,18_Clio_4_modèle_2021
19,Peugeot 208 Diesel Manuelle 2024 à Salé,Prix non spécifié,2025-02-27 23:55:34,20,Diesel,Manuelle,AUTO DAHMANI ShopBadge Icon,https://www.avito.ma/fr/sala_el_jadida/voitures_d'occasion/Peugeot_208_Diesel_Manuelle_2024_%C3%A0_Sal%C3%A9_56155474.htm,19_Peugeot_208_Diesel_Manuelle_2024_à_Salé
20,Location de voiture aéroport Marrakech,249 DH,2025-02-27 23:51:35,N/A,N/A,N/A,PATH CARShopBadge Icon,https://www.avito.ma/fr/autre_secteur/voitures_de_location/Location_de_voiture_a%C3%A9roport_Marrakech__55160020.htm,20_Location_de_voiture_aéroport_Marrakech
21,Fiat 500 2007 à 2016 Baguette chromée,Prix non spécifié,2025-02-27 23:51:35,N/A,N/A,N/A,France-Pieces-OKAZShopBadge Icon,https://www.avito.ma/fr/oulfa/pi%C3%A8ces_et_accessoires_pour_v%C3%A9hicules/Fiat_500_2007_%C3%A0_2016_Baguette_chrom%C3%A9e__54644341.htm,21_Fiat_500_2007_à_2016_Baguette_chromée
22,Location de voiture clio 5,Prix non spécifié,2025-02-27 23:49:35,N/A,N/A,N/A,vog car,https://www.avito.ma/fr/anfa/voitures_de_location/Location_de_voiture_clio_5__55827395.htm,22_Location_de_voiture_clio_5
23,Jacket avec Pantalon MotoCross,2 500 DH,2025-02-27 23:53:35,N/A,N/A,N/A,highperShopBadge Icon,https://www.avito.ma/fr/quods/pi%C3%A8ces_et_accessoires_pour_v%C3%A9hicules/Jacket_avec_Pantalon_MotoCross__55907586.htm,23_Jacket_avec_Pantalon_MotoCross
24,New GLC COUPE 300e hybride essence,Prix non spécifié,2025-02-27 23:51:35,20,Hybride,Automatique,C ZAM AUTO oujdaShopBadge Icon,https://www.avito.ma/fr/hay_el_qods/voitures_d'occasion/New_GLC_COUPE_300e_hybride_essence__53567779.htm,24_New_GLC_COUPE_300e_hybride_essence
25,Location de voiture aéroport Marrakech,249 DH,2025-02-27 23:50:35,N/A,N/A,N/A,PATH CARShopBadge Icon,https://www.avito.ma/fr/autre_secteur/voitures_de_location/Location_de_voiture_a%C3%A9roport_Marrakech__55094352.htm,25_Location_de_voiture_aéroport_Marrakech
26,Porsche Cayenne coupé,Prix non spécifié,2025-02-27 23:52:35,2021,Hybride,Automatique,Corniche autoShopBadge Icon,https://www.avito.ma/fr/anfa/voitures_d'occasion/Porsche_Cayenne_coup%C3%A9__56009741.htm,26_Porsche_Cayenne_coupé
27,Ford focus automatic,Prix non spécifié,2025-02-27 23:52:35,2021,Diesel,Automatique,2GKRShopBadge Icon,https://www.avito.ma/fr/hay_al_massar/voitures_d'occasion/Ford_focus_automatic__55612563.htm,27_Ford_focus_automatic
28,Audi A3 Sline 2025,Prix non spécifié,2025-02-27 23:50:35,2025,Diesel,Automatique,PDAShopBadge Icon,https://www.avito.ma/fr/riviera/voitures_d'occasion/Audi_A3_Sline_2025__56162496.htm,28_Audi_A3_Sline_2025
29,golf 7 n9iya,163 000 DH,2025-02-27 23:50:35,2016,Diesel,Manuelle,reda,https://www.avito.ma/fr/azli/voitures_d'occasion/golf_7_n9iya__56162500.htm,29_golf_7_n9iya
30,clio classique très bon état,50 000 DH,2025-02-27 23:50:36,2008,Essence,Manuelle,توفيق,https://www.avito.ma/fr/centre_ville/voitures_d'occasion/clio_classique_tr%C3%A8s_bon_%C3%A9tat__56162499.htm,30_clio_classique_très_bon_état
31,docker rymco c50 2017 ba9a n9ia,Prix non spécifié,2025-02-27 23:50:36,2017,N/A,N/A,Bahi walid,https://www.avito.ma/fr/ben_m'sick/motos/docker_rymco_c50_2017_ba9a_n9ia_56162498.htm,31_docker_rymco_c50_2017_ba9a_n9ia
32,Jeep Compass Diesel Manuelle 2020 à Rabat,221 500 DH,2025-02-27 23:50:36,2020,Diesel,Manuelle,Ayoub Fanchakkar,https://www.avito.ma/fr/hay_el_fath/voitures_d'occasion/Jeep_Compass_Diesel_Manuelle_2020_%C3%A0_Rabat_56162497.htm,32_Jeep_Compass_Diesel_Manuelle_2020_à_Rabat
33,Kia Sportage Diesel Automatique 2012 à Marrakech,130 000 DH,2025-02-27 23:50:36,2012,Diesel,Automatique,Boucetta,https://www.avito.ma/fr/allal_el_fassi/voitures_d'occasion/Kia_Sportage_Diesel_Automatique_2012_%C3%A0_Marrakech_56162495.htm,33_Kia_Sportage_Diesel_Automatique_2012_à_Marrakech
34,kango modele 2021,150 000 DH,2025-02-27 23:49:36,2021,Diesel,Manuelle,MOHAMED,https://www.avito.ma/fr/souk_el_arbaa/voitures_d'occasion/kango_modele_2021_56162494.htm,34_kango_modele_2021
35,Motocross Automatique 60cc,14 300 DH,2025-02-27 23:48:41,2024,N/A,N/A,highperShopBadge Icon,https://www.avito.ma/fr/al_boustane/motos/Motocross_Automatique_60cc_55610625.htm,35_Motocross_Automatique_60cc
36,kIA SELTOS Diesel automatique,198 000 DH,2025-02-27 23:49:41,2022,Diesel,Automatique,Hicham,https://www.avito.ma/fr/val_fleuri/voitures_d'occasion/kIA_SELTOS_Diesel_automatique__52064406.htm,36_kIA_SELTOS_Diesel_automatique
37,GUANTS MOTOCROSS ET QUAD,300 DH,2025-02-27 23:48:41,N/A,N/A,N/A,highperShopBadge Icon,https://www.avito.ma/fr/fes_jdid/pi%C3%A8ces_et_accessoires_pour_v%C3%A9hicules/GUANTS_MOTOCROSS_ET_QUAD_55793538.htm,37_GUANTS_MOTOCROSS_ET_QUAD
38,mini chargeur,Prix non spécifié,2025-02-27 23:47:42,N/A,N/A,N/A,Maroc matérielShopBadge Icon,https://www.avito.ma/fr/2_mars/engins_btp/mini_chargeur__56086763.htm,38_mini_chargeur
39,Location de voitures,Prix non spécifié,2025-02-27 23:43:42,N/A,N/A,N/A,vog car,https://www.avito.ma/fr/bourgogne/voitures_de_location/Location_de_voitures__55842296.htm,39_Location_de_voitures
